<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;23/12/21;23:00:00;342.4500000;342.6700000;341.1500000;341.5900000;1060630
GAZP;60;24/12/21;00:00:00;341.4700000;341.5800000;339.0000000;339.8100000;2118950
GAZP;60;24/12/21;08:00:00;339.3000000;340.9800000;335.6900000;338.1900000;4390800
GAZP;60;24/12/21;09:00:00;338.0700000;338.8000000;336.8500000;338.6200000;1599280
GAZP;60;24/12/21;10:00:00;338.7900000;339.8000000;338.6300000;338.6400000;1447340
GAZP;60;24/12/21;11:00:00;338.6000000;340.7700000;338.0500000;338.4300000;4320330
GAZP;60;24/12/21;12:00:00;338.5100000;338.7900000;336.2500000;336.3400000;4206500
GAZP;60;24/12/21;13:00:00;336.2900000;336.7500000;334.5500000;335.4100000;6591930
GAZP;60;24/12/21;14:00:00;335.5300000;336.9400000;335.4000000;336.1800000;2461160
GAZP;60;24/12/21;15:00:00;336.1600000;336.6000000;335.5600000;336.1800000;1952930
GAZP;60;24/12/21;16:00:00;336.1000000;337.8300000;335.8500000;336.7400000;2707360
GAZP;60;24/12/21;17:00:00;336.7100000;337.4000000;336.6900000;337.3700000;1462050
GAZP;60;24/12/21;18:00:00;337.3000000;338.6200000;336.7000000;338.5700000;2008520
GAZP;60;24/12/21;19:00:00;338.5700000;339.4500000;338.0500000;339.2400000;2221060
GAZP;60;24/12/21;20:00:00;339.2400000;339.7400000;337.5000000;337.8600000;1115360
GAZP;60;24/12/21;21:00:00;337.8600000;338.8600000;337.5000000;338.8600000;494070
GAZP;60;24/12/21;22:00:00;338.7900000;338.9900000;338.0200000;338.1000000;303600
GAZP;60;24/12/21;23:00:00;338.0600000;338.9100000;337.8100000;338.5300000;873310
GAZP;60;25/12/21;00:00:00;338.5300000;339.1900000;338.4300000;338.7900000;850350
GAZP;60;27/12/21;08:00:00;339.6800000;340.4100000;339.3300000;340.1100000;1169110
GAZP;60;27/12/21;09:00:00;340.1000000;342.3100000;340.0000000;341.5200000;1839060
GAZP;60;27/12/21;10:00:00;341.6900000;341.7300000;339.7600000;340.8100000;1386850
GAZP;60;27/12/21;11:00:00;340.8100000;342.5000000;340.1000000;341.6900000;3748860
GAZP;60;27/12/21;12:00:00;341.6900000;342.9500000;341.0000000;342.6200000;2396780
GAZP;60;27/12/21;13:00:00;342.6300000;343.0000000;341.6600000;342.3000000;2529270
GAZP;60;27/12/21;14:00:00;342.3000000;342.5000000;341.6500000;341.9100000;1270970
GAZP;60;27/12/21;15:00:00;341.9500000;342.4500000;340.8300000;341.9200000;2158830
GAZP;60;27/12/21;16:00:00;341.9200000;342.7000000;341.4500000;341.7000000;1658970
GAZP;60;27/12/21;17:00:00;341.6300000;342.0600000;340.9500000;341.5500000;1885050
GAZP;60;27/12/21;18:00:00;341.5500000;342.6000000;341.0100000;342.3100000;2642880
GAZP;60;27/12/21;19:00:00;342.3100000;343.0000000;342.0000000;343.0000000;3704890
GAZP;60;27/12/21;20:00:00;343.0000000;343.5000000;342.2000000;342.3600000;683530
GAZP;60;27/12/21;21:00:00;342.3000000;342.7600000;342.0000000;342.4800000;625850
GAZP;60;27/12/21;22:00:00;342.4800000;342.7300000;342.1800000;342.4300000;394300
GAZP;60;27/12/21;23:00:00;342.4300000;342.6500000;342.2400000;342.6300000;556380
GAZP;60;28/12/21;00:00:00;342.6300000;343.9700000;342.3400000;343.9700000;1274310
GAZP;60;28/12/21;08:00:00;344.0400000;345.8800000;343.4300000;345.1000000;1907610
GAZP;60;28/12/21;09:00:00;345.1200000;346.6000000;344.6300000;346.1400000;1480010
GAZP;60;28/12/21;10:00:00;346.1400000;346.4400000;345.5100000;346.3000000;1604200
GAZP;60;28/12/21;11:00:00;346.3000000;346.4300000;344.4800000;345.2000000;3665600
GAZP;60;28/12/21;12:00:00;345.2000000;345.7000000;344.5000000;345.2100000;2003720
GAZP;60;28/12/21;13:00:00;345.2000000;346.3500000;344.7800000;345.5100000;2160760
GAZP;60;28/12/21;14:00:00;345.5000000;345.5500000;344.5700000;345.0200000;1596260
GAZP;60;28/12/21;15:00:00;345.0600000;346.2000000;344.8100000;345.4900000;3070920
GAZP;60;28/12/21;16:00:00;345.4700000;346.5700000;345.4700000;345.8700000;3012480
GAZP;60;28/12/21;17:00:00;345.8500000;346.4500000;345.1800000;345.8900000;2096930
GAZP;60;28/12/21;18:00:00;345.8900000;346.2700000;345.3500000;345.4900000;2837290
GAZP;60;28/12/21;19:00:00;345.4500000;345.7800000;345.1500000;345.4800000;3910620
GAZP;60;28/12/21;20:00:00;345.4800000;345.6600000;343.3100000;344.4000000;1975000
GAZP;60;28/12/21;21:00:00;344.3500000;344.4700000;342.8200000;343.7000000;1336990
GAZP;60;28/12/21;22:00:00;343.6900000;344.4700000;343.1300000;344.1500000;795980
GAZP;60;28/12/21;23:00:00;344.1900000;344.2800000;343.2000000;343.5500000;440180
GAZP;60;29/12/21;00:00:00;343.5300000;343.7000000;342.5500000;343.2300000;954290
GAZP;60;29/12/21;08:00:00;343.3000000;344.4800000;340.9100000;341.3500000;1626860
GAZP;60;29/12/21;09:00:00;341.3800000;341.7800000;340.2500000;341.6000000;1667710
GAZP;60;29/12/21;10:00:00;341.6300000;343.4400000;341.4900000;342.0900000;1616800
GAZP;60;29/12/21;11:00:00;342.1900000;343.8500000;340.8200000;343.4700000;3512980
